occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.09917042,0.04031214,0.03759332,0.13054768,0.12868697,0.15042852,0.12758481,0.11936807
0.08126258,0.02020068,0.04303126,0.21524029,0.08627974,0.11701148,0.18230429,0.12409349
0.11619438,0.03438186,0.03587479,0.19294968,0.13943919,0.08661473,0.19587303,0.08121289
0.10906322,0.03325406,0.01714755,0.19086915,0.07982189,0.06675979,0.17680536,0.19141181
0.0975,0.0400951,0.03054403,0.17391294,0.0725126,0.15252061,0.11481967,0.18409233
0.0975,0.01604309,0.01356018,0.13512858,0.2225,0.11418109,0.0925,0.1320018
0.0975,0.0225,0.01476332,0.049646,0.22177328,0.10456697,0.06751667,0.0760239
0.053,0.0125,0.04351281,0.05107746,0.18167059,0.0895,0.10642041,0.04365253
0.0085,0.01,0.0175,0.05729993,0.155,0.05888471,0.08339972,0.02651453
0.055,0.06,0.01614396,0.05456897,0.17578904,0.07469582,0.13004175,0.10319925
0.045,0.01141667,0.01452753,0.0793411,0.17840155,0.08078657,0.13082639,0.18135922
0.005,0.0125,0.0316833,0.07534561,0.07616818,0.08574138,0.10652442,0.15074007
0.055,0.05185152,0.06386341,0.10725378,0.09227195,0.10357158,0.09246377,0.16460178
0.03992945,0.11494817,0.06565281,0.24494347,0.2297392,0.18167961,0.15567817,0.26659255
0.13273451,0.22360774,0.09348391,0.36608162,0.42568987,0.41370739,0.36966231,0.46601838
0.12192246,0.33747476,0.34693465,0.50809878,0.64611894,0.52553774,0.75080278,0.58483405
0.15963065,0.27196744,0.46603635,0.49197821,0.56314984,0.55973092,0.71042872,0.51026148
0.16934953,0.19265951,0.41495424,0.45573019,0.48531575,0.71698625,0.55739152,0.46961425
0.14790478,0.19333467,0.4027976,0.22568005,0.40346404,0.44896605,0.42600674,0.47417905
0.09896098,0.17765822,0.36016216,0.25102218,0.2107064,0.38455995,0.27565596,0.27219679
0.08827284,0.1086669,0.29489416,0.24561437,0.14009298,0.3542682,0.23517642,0.19618813
0.19126106,0.17783328,0.87341248,0.25372246,0.15798798,0.29213567,0.17430911,0.1435
0.12923011,0.16923629,0.62642963,0.26252089,0.21461303,0.19356243,0.17221035,0.27881506
0.1913402,0.18924849,0.4192989,0.34415834,0.24277143,0.31595117,0.34133621,0.23022271
0.28453915,0.11070066,0.44196139,0.39189293,0.47054828,0.22526628,0.32311837,0.22656917
0.14233353,0.14250155,0.3421404,0.25353106,0.31462803,0.42508491,0.24635811,0.94271122
0.15423603,0.11957968,0.32623242,0.53598529,1.6069152,0.28410369,0.21549363,0.26315986
0.18879662,0.30040286,0.26113723,0.34952048,0.3569582,0.29640684,0.17260718,0.21841897
0.17452621,0.20898771,0.26153214,0.27811122,0.27141179,0.33198593,0.35778958,0.31202301
0.07301123,0.17686663,0.24876455,0.28881663,0.2667676,0.17702534,0.3194654,0.26854891
0.11498129,0.06255636,0.11202753,0.16386784,0.16193099,0.18003195,0.35768089,0.28464953
0.33937968,0.11487593,0.24580006,0.29346413,0.27336355,0.40545556,0.37351748,0.31319766
0.19381496,0.22338866,0.40369711,0.59118934,0.29417357,0.47355315,0.51291825,0.36661091
0.20307421,0.38887025,0.47880884,0.74613077,0.54292471,0.70536888,0.64938118,0.60393991
0.33743595,0.51329395,1.51986822,0.79556149,0.6124777,0.63716377,0.57202786,1.32075606
0.34310532,0.50532655,2.14174567,0.83399172,0.7042759,0.98066513,0.79351331,0.80943708
0.60242484,0.56750904,1.14352864,0.79683344,0.66622441,0.81570777,1.4480893,0.64354368
0.48019523,0.68094904,1.15487195,0.73317229,0.69581146,0.57860615,0.95645918,0.79424096
0.43946533,0.48789676,1.14323294,0.59039881,0.6674434,0.54956276,0.83273016,0.73129061
0.35720884,0.36387468,0.4120335,0.51362181,0.46517251,0.46943353,0.67419793,0.6588648
0.38775514,0.32864427,0.48367017,0.656429,0.41134677,0.43268749,0.64072865,0.54334699
0.37638373,0.28582013,0.53002181,0.55637798,0.42209927,0.56011181,1.2131087,0.50067006
0.3090967,0.37897266,0.42815835,0.45780867,0.43449158,0.53592152,0.86450369,0.50369926
0.28224047,0.42233615,0.37371696,0.42133023,0.50477921,0.46852213,0.8625675,0.42743065
0.28051125,0.34407723,0.41727732,0.39357142,0.49445083,0.42424608,0.61904542,0.36419974
0.23704448,0.35488604,0.3312863,0.49369537,0.26983611,0.41377396,0.54425713,0.42227037
0.19516629,0.31635204,0.29866983,0.3884687,0.26822976,0.35051089,0.53181965,0.39291402
0.15210859,0.26309489,0.25275352,0.32351127,0.21456158,0.22383812,0.43692189,0.35276972
0.10620797,0.05934346,0.05013927,0.13377069,0.19503738,0.10194574,0.14048947,0.16913817
0.08108587,0.05728654,0.06791818,0.20807706,0.2316146,0.16802207,0.13187569,0.19392236
0.02606327,0.0214566,0.05839596,0.19608735,0.21909993,0.36041951,0.12813,0.13856796
0.01822155,0.01903332,0.01736505,0.13880352,0.17145248,0.25407441,0.05823378,0.10186595
0.03320811,0.02412036,0.0510409,0.13458705,0.13978753,0.25160134,0.07204683,0.105699
0.05639383,0.05068031,0.01590803,0.11738284,0.11130643,0.21454892,0.11879802,0.11559687
0.0318491,0.0467519,0.03327636,0.08060325,0.09850158,0.20695444,0.07210061,0.049
0.0075,0.06014623,0.05578939,0.21331395,0.05431531,0.1882587,0.1,0.24904588
0.0425,0.01162329,0.01408335,0.08307406,0.10173235,0.11201027,0.0525,0.22710738
0.00958333,0.01334969,0.02412876,0.055,0.03,0.0654291,0.085,0.11421567
0.03868344,0.0258771,0.035,0.05716667,0.05010559,0.055,0.08391667,0.11954295
0.035,0.02879442,0.03333333,0.07507818,0.05690153,0.11442673,0.0575,0.11693696
0.06,0.12253235,0.1025,0.03548572,0.06754359,0.07652149,0.09759775,0.09164732
0.03765766,0.10234334,0.08346204,0.24308257,0.19920348,0.19681203,0.21466735,0.08857696
0.07057533,0.13407343,0.14082916,0.39351154,0.30324089,0.33097639,0.23901489,0.20602643
0.06530628,0.16837777,0.30240127,0.33547454,0.35474105,0.32007045,0.36208482,0.3516035
0.26109205,0.17059989,0.23120014,0.53841761,0.39443469,0.38548642,0.61900076,0.54376614
0.12953217,0.2416287,0.89876427,0.40164483,0.41466356,1.38001865,0.52417024,0.41587357
0.11602061,0.22886848,0.64590168,0.4119486,0.41568731,0.9593536,0.38071724,0.47766371
0.1125909,0.23555888,0.507179,0.36622446,0.31276165,0.22224263,0.2666481,0.31968633
0.19515857,0.22937915,0.56190736,0.25626017,0.26633036,0.37882462,0.34970772,0.2866764
0.27168199,0.15977123,0.53856439,0.2261059,0.36140142,0.28953615,0.24238836,0.3195658
0.18597217,0.16321148,1.20464321,0.33985238,0.30122823,0.17738266,0.27895875,0.24850235
0.1519766,0.14094846,0.50133115,0.59739443,0.23926509,0.18599496,0.41045295,0.19749196
0.16973542,1.29580242,0.98311845,0.39113186,0.23385912,0.20710685,0.36985861,0.2069418
0.71041802,0.75820401,0.95027437,0.221472,0.28128813,0.36188595,0.50172237,0.3916731
0.58909084,0.67362692,1.98052934,0.35752544,1.29336597,0.28271831,0.50345942,1.06173398
0.36567989,0.22302947,0.60716564,0.40052988,0.91575608,0.25114847,0.26338022,1.29686697
0.30861017,0.32598927,0.26946169,0.27492319,0.44616382,0.17886958,0.36407759,0.65614943
0.19015933,0.35390286,0.21190598,0.3167927,0.36974666,0.15084764,0.39899181,0.61095352
0.19381428,0.15208869,0.16391425,0.26949501,0.31678163,0.43614723,0.37951921,0.3339912
0.18583169,0.11730682,0.34299484,0.65571602,0.48214364,0.95829849,0.34319183,0.2148952
0.16658687,0.27987943,0.69665716,0.77292486,0.97319714,0.42070529,0.54351066,0.36258961
0.17529594,0.32839331,0.50570515,0.38411979,0.86911117,0.53514817,0.53130555,0.25449397
0.3557316,0.55404742,0.5672026,0.55370272,0.61010651,0.93348692,0.71467945,0.43795392
0.38463884,0.45108386,0.64495893,0.59760124,0.7393371,0.73347223,0.69803217,0.67874343
0.3673124,0.3627734,0.77868407,0.90656678,0.88502094,0.60080482,0.7146213,0.71999805
0.32177095,0.6056792,0.81662687,0.8459326,0.64418422,0.54594532,0.65911849,0.92775422
0.29907475,0.44704451,0.64017936,0.80887609,0.67876663,0.68096393,0.5498343,0.87861564
0.29274483,0.33376885,0.43138155,1.20136919,0.61080472,1.0080048,0.48988135,0.71348141
0.28187548,0.38198757,0.43192473,1.40441705,0.49886015,0.54091917,0.48164698,0.52019379
0.25266749,0.38868279,0.50465487,1.16656886,0.55904679,0.45069237,0.46299818,0.44538905
0.21586279,0.38584604,0.3605761,1.12871705,0.44973383,0.47109897,0.44965838,0.42523944
0.22508785,0.34727243,0.37045257,0.56726023,0.41315478,0.44221789,0.54877691,0.52182963
0.20193188,0.39646817,0.30214266,0.36451195,0.34717381,0.38838883,0.49268046,0.34467827
0.19464532,0.39206232,0.3472831,0.47988561,0.30443876,0.30755103,0.41839385,0.4133538
