occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.04958521,0.02015607,0.01879666,0.06527384,0.064343485,0.07521426,0.063792405,0.059684035
0.04063129,0.01010034,0.02151563,0.107620145,0.04313987,0.05850574,0.091152145,0.062046745
0.05809719,0.01719093,0.017937395,0.09647484,0.069719595,0.043307365,0.097936515,0.040606445
0.05453161,0.01662703,0.008573775,0.095434575,0.039910945,0.033379895,0.08840268,0.095705905
0.04875,0.02004755,0.015272015,0.08695647,0.0362563,0.076260305,0.057409835,0.092046165
0.04875,0.008021545,0.00678009,0.06756429,0.11125,0.057090545,0.04625,0.0660009
0.04875,0.01125,0.00738166,0.024823,0.11088664,0.052283485,0.033758335,0.03801195
0.0265,0.00625,0.021756405,0.02553873,0.090835295,0.04475,0.053210205,0.021826265
0.00425,0.005,0.00875,0.028649965,0.0775,0.029442355,0.04169986,0.013257265
0.0275,0.03,0.00807198,0.027284485,0.08789452,0.03734791,0.065020875,0.051599625
0.0225,0.005708335,0.007263765,0.03967055,0.089200775,0.040393285,0.065413195,0.09067961
0.0025,0.00625,0.01584165,0.037672805,0.03808409,0.04287069,0.05326221,0.075370035
0.0275,0.02592576,0.031931705,0.05362689,0.046135975,0.05178579,0.046231885,0.08230089
0.019964725,0.057474085,0.032826405,0.122471735,0.1148696,0.090839805,0.077839085,0.133296275
0.066367255,0.11180387,0.046741955,0.18304081,0.212844935,0.206853695,0.184831155,0.23300919
0.06096123,0.16873738,0.173467325,0.25404939,0.32305947,0.26276887,0.37540139,0.292417025
0.079815325,0.13598372,0.233018175,0.245989105,0.28157492,0.27986546,0.35521436,0.25513074
0.084674765,0.096329755,0.20747712,0.227865095,0.242657875,0.358493125,0.27869576,0.234807125
0.07395239,0.096667335,0.2013988,0.112840025,0.20173202,0.224483025,0.21300337,0.237089525
0.04948049,0.08882911,0.18008108,0.12551109,0.1053532,0.192279975,0.13782798,0.136098395
0.04413642,0.05433345,0.14744708,0.122807185,0.07004649,0.1771341,0.11758821,0.098094065
0.09563053,0.08891664,0.43670624,0.12686123,0.07899399,0.146067835,0.087154555,0.07175
0.064615055,0.084618145,0.313214815,0.131260445,0.107306515,0.096781215,0.086105175,0.13940753
0.0956701,0.094624245,0.20964945,0.17207917,0.121385715,0.157975585,0.170668105,0.115111355
0.142269575,0.05535033,0.220980695,0.195946465,0.23527414,0.11263314,0.161559185,0.113284585
0.071166765,0.071250775,0.1710702,0.12676553,0.157314015,0.212542455,0.123179055,0.47135561
0.077118015,0.05978984,0.16311621,0.267992645,0.8034576,0.142051845,0.107746815,0.13157993
0.09439831,0.15020143,0.130568615,0.17476024,0.1784791,0.14820342,0.08630359,0.109209485
0.087263105,0.104493855,0.13076607,0.13905561,0.135705895,0.165992965,0.17889479,0.156011505
0.036505615,0.088433315,0.124382275,0.144408315,0.1333838,0.08851267,0.1597327,0.134274455
0.057490645,0.03127818,0.056013765,0.08193392,0.080965495,0.090015975,0.178840445,0.142324765
0.16968984,0.057437965,0.12290003,0.146732065,0.136681775,0.20272778,0.18675874,0.15659883
0.09690748,0.11169433,0.201848555,0.29559467,0.147086785,0.236776575,0.256459125,0.183305455
0.101537105,0.194435125,0.23940442,0.373065385,0.271462355,0.35268444,0.32469059,0.301969955
0.168717975,0.256646975,0.75993411,0.397780745,0.30623885,0.318581885,0.28601393,0.66037803
0.17155266,0.252663275,1.070872835,0.41699586,0.35213795,0.490332565,0.396756655,0.40471854
0.30121242,0.28375452,0.57176432,0.39841672,0.333112205,0.407853885,0.72404465,0.32177184
0.240097615,0.34047452,0.577435975,0.366586145,0.34790573,0.289303075,0.47822959,0.39712048
0.219732665,0.24394838,0.57161647,0.295199405,0.3337217,0.27478138,0.41636508,0.365645305
0.17860442,0.18193734,0.20601675,0.256810905,0.232586255,0.234716765,0.337098965,0.3294324
0.19387757,0.164322135,0.241835085,0.3282145,0.205673385,0.216343745,0.320364325,0.271673495
0.188191865,0.142910065,0.265010905,0.27818899,0.211049635,0.280055905,0.60655435,0.25033503
0.15454835,0.18948633,0.214079175,0.228904335,0.21724579,0.26796076,0.432251845,0.25184963
0.141120235,0.211168075,0.18685848,0.210665115,0.252389605,0.234261065,0.43128375,0.213715325
0.140255625,0.172038615,0.20863866,0.19678571,0.247225415,0.21212304,0.30952271,0.18209987
0.11852224,0.17744302,0.16564315,0.246847685,0.134918055,0.20688698,0.272128565,0.211135185
0.097583145,0.15817602,0.149334915,0.19423435,0.13411488,0.175255445,0.265909825,0.19645701
0.076054295,0.131547445,0.12637676,0.161755635,0.10728079,0.11191906,0.218460945,0.17638486
0.053103985,0.02967173,0.025069635,0.066885345,0.09751869,0.05097287,0.070244735,0.084569085
0.040542935,0.02864327,0.03395909,0.10403853,0.1158073,0.084011035,0.065937845,0.09696118
